[22:04:51] [trace   ] iKAN: Initializing...
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.015250683
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.017772198
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016478539
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.015326977
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.018872738
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.0150260925
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016413212
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.019174576
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.015484333
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016241074
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.017715931
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.015316963
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016346931
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.01908493
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016094208
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.015847206
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016762733
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.01889038
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.013861179
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.018517971
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.01695919
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.014427662
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016850948
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.019021988
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.014646053
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01805687
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01741743
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01360178
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.019827843
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.014098167
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.016778946
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01710701
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01676035
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01636362
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01675415
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.015861988
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01641941
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.018312454
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.016542912
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.014757156
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.018279552
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01693058
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.015017986
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.018235683
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.016643524
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.015707493
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.017371178
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.016880035
